(epoch: 3, iters: 960, time: 0.014, data: 0.037 ETA:    0:09:51) G_GAN: 2.326 G_L1: 9.877 D_real: 0.446 D_fake: 0.082 
(epoch: 4, iters: 640, time: 0.014, data: 0.100 ETA:    0:09:48) G_GAN: 1.753 G_L1: 9.903 D_real: 0.341 D_fake: 0.265 
(epoch: 5, iters: 320, time: 0.015, data: 0.010 ETA:    0:10:03) G_GAN: 1.275 G_L1: 9.591 D_real: 0.410 D_fake: 0.352 
(epoch: 5, iters: 1120, time: 0.007, data: 0.027 ETA:    0:04:54) G_GAN: 0.905 G_L1: 10.618 D_real: 0.769 D_fake: 0.329 
(epoch: 6, iters: 800, time: 0.014, data: 1.288 ETA:    0:09:13) G_GAN: 1.255 G_L1: 11.188 D_real: 0.373 D_fake: 0.749 
(epoch: 7, iters: 480, time: 0.015, data: 0.061 ETA:    0:09:12) G_GAN: 2.156 G_L1: 9.255 D_real: 0.071 D_fake: 0.854 
(epoch: 8, iters: 160, time: 0.015, data: 0.103 ETA:    0:09:02) G_GAN: 0.673 G_L1: 9.961 D_real: 0.986 D_fake: 0.210 
(epoch: 8, iters: 960, time: 0.014, data: 0.012 ETA:    0:08:35) G_GAN: 1.304 G_L1: 9.937 D_real: 0.607 D_fake: 0.280 
(epoch: 9, iters: 640, time: 0.014, data: 0.042 ETA:    0:08:10) G_GAN: 1.378 G_L1: 10.736 D_real: 0.565 D_fake: 0.321 
(epoch: 10, iters: 320, time: 0.014, data: 0.047 ETA:    0:08:01) G_GAN: 2.588 G_L1: 9.195 D_real: 0.122 D_fake: 0.849 
(epoch: 10, iters: 1120, time: 0.007, data: 0.014 ETA:    0:04:07) G_GAN: 1.105 G_L1: 9.971 D_real: 0.540 D_fake: 0.228 
(epoch: 11, iters: 800, time: 0.014, data: 1.323 ETA:    0:08:00) G_GAN: 1.668 G_L1: 10.547 D_real: 0.142 D_fake: 0.301 
(epoch: 12, iters: 480, time: 0.014, data: 0.010 ETA:    0:07:52) G_GAN: 1.484 G_L1: 8.832 D_real: 0.526 D_fake: 0.215 
(epoch: 13, iters: 160, time: 0.014, data: 0.023 ETA:    0:07:21) G_GAN: 1.589 G_L1: 9.512 D_real: 0.304 D_fake: 0.450 
(epoch: 13, iters: 960, time: 0.014, data: 0.023 ETA:    0:07:19) G_GAN: 1.627 G_L1: 9.004 D_real: 0.203 D_fake: 0.794 
(epoch: 14, iters: 640, time: 0.015, data: 0.116 ETA:    0:07:19) G_GAN: 1.463 G_L1: 10.617 D_real: 0.864 D_fake: 0.089 
(epoch: 15, iters: 320, time: 0.015, data: 0.070 ETA:    0:07:32) G_GAN: 1.645 G_L1: 8.773 D_real: 0.507 D_fake: 0.472 
(epoch: 15, iters: 1120, time: 0.007, data: 0.008 ETA:    0:03:28) G_GAN: 1.028 G_L1: 9.511 D_real: 1.704 D_fake: 0.122 
(epoch: 16, iters: 800, time: 0.014, data: 1.269 ETA:    0:06:37) G_GAN: 1.159 G_L1: 10.443 D_real: 1.034 D_fake: 0.253 
(epoch: 17, iters: 480, time: 0.015, data: 0.061 ETA:    0:06:36) G_GAN: 1.786 G_L1: 8.232 D_real: 0.281 D_fake: 0.475 
(epoch: 18, iters: 160, time: 0.015, data: 0.101 ETA:    0:06:15) G_GAN: 2.261 G_L1: 10.431 D_real: 0.183 D_fake: 0.347 
(epoch: 18, iters: 960, time: 0.014, data: 0.082 ETA:    0:06:05) G_GAN: 1.171 G_L1: 9.220 D_real: 1.379 D_fake: 0.104 
(epoch: 19, iters: 640, time: 0.015, data: 0.011 ETA:    0:06:23) G_GAN: 1.399 G_L1: 8.670 D_real: 0.247 D_fake: 0.409 
(epoch: 20, iters: 320, time: 0.015, data: 0.036 ETA:    0:05:45) G_GAN: 1.432 G_L1: 10.530 D_real: 0.606 D_fake: 0.263 
(epoch: 20, iters: 1120, time: 0.007, data: 0.030 ETA:    0:02:31) G_GAN: 1.443 G_L1: 10.318 D_real: 0.348 D_fake: 0.250 
(epoch: 21, iters: 800, time: 0.015, data: 1.328 ETA:    0:05:53) G_GAN: 1.335 G_L1: 9.642 D_real: 0.652 D_fake: 0.169 
(epoch: 22, iters: 480, time: 0.015, data: 0.015 ETA:    0:05:25) G_GAN: 1.448 G_L1: 9.161 D_real: 0.276 D_fake: 0.187 
(epoch: 23, iters: 160, time: 0.014, data: 0.010 ETA:    0:04:43) G_GAN: 2.900 G_L1: 9.866 D_real: 0.064 D_fake: 0.595 
(epoch: 23, iters: 960, time: 0.014, data: 0.068 ETA:    0:04:47) G_GAN: 1.702 G_L1: 9.077 D_real: 0.370 D_fake: 0.170 
(epoch: 24, iters: 640, time: 0.014, data: 0.058 ETA:    0:04:34) G_GAN: 1.827 G_L1: 8.029 D_real: 0.269 D_fake: 0.481 
(epoch: 25, iters: 320, time: 0.014, data: 0.105 ETA:    0:04:19) G_GAN: 0.609 G_L1: 7.877 D_real: 0.609 D_fake: 0.238 
(epoch: 25, iters: 1120, time: 0.007, data: 0.011 ETA:    0:02:13) G_GAN: 0.961 G_L1: 9.500 D_real: 0.867 D_fake: 0.120 
(epoch: 26, iters: 800, time: 0.015, data: 1.287 ETA:    0:04:09) G_GAN: 1.954 G_L1: 9.164 D_real: 0.227 D_fake: 0.717 
(epoch: 27, iters: 480, time: 0.014, data: 0.076 ETA:    0:03:45) G_GAN: 1.700 G_L1: 8.269 D_real: 0.209 D_fake: 0.355 
(epoch: 28, iters: 160, time: 0.014, data: 0.049 ETA:    0:03:19) G_GAN: 1.369 G_L1: 7.743 D_real: 0.759 D_fake: 0.144 
(epoch: 28, iters: 960, time: 0.014, data: 0.008 ETA:    0:03:34) G_GAN: 1.537 G_L1: 8.333 D_real: 0.356 D_fake: 0.339 
(epoch: 29, iters: 640, time: 0.015, data: 0.125 ETA:    0:03:20) G_GAN: 1.659 G_L1: 7.937 D_real: 0.313 D_fake: 0.224 
(epoch: 30, iters: 320, time: 0.015, data: 0.012 ETA:    0:03:05) G_GAN: 2.396 G_L1: 7.964 D_real: 0.182 D_fake: 0.302 
